shaped, форма 
settler, поселенец
sentiment, настроение
administer, управлять  
compromise, компромисс  
kingdom, царство 
commentator, комментатор  
efficiency, эффективность
appoint, назначать  
deteriorate, ухудшаться
ironic, иронический 
appealing, привлекательный  
enquire, расспрашивать
kingdom, царство 
slash, косить
clerk, клерк  
landmark, ориентир 
inspector, инспектор 
dive, нырять
innovation, инновация 
arm, рука / оружие  
shatter, разрушать/раскалывать
cheek, щека  
clarity, ясность  
resign, уходить в отставку
drought, засуха
assemble, собираться  
slap, шлепок
shrink, сжиматься/уменьшаться
annually, ежегодно  
apology, извинение  
sheer, чистый/явный
lap, колени 
isolate, изолировать 
invisible, невидимый 
